# season|tags|episode range or special; order matches the user-provided watch list
1|С|1-5
1|С|6-19
1|Ф2|OVA 1
1|С|20-25
1|С|27-67
1|С|68-80
1|Ф2|OVA 2
1|С|81-85
1|С|86-96
1|Ф2|97
1|С|98
1|Ф1|99
1|С|100
1|Ф1|101
1|Ф1|102-106
1|С|107-135
1|Ф1|136-141
1|Ф2|148-151
1|Ф2|152-157
1|Ф2|161
1|Ф2|169-173
1|Ф2|178-183
1|Ф2|185
1|Ф2|187-191
1|Ф2|192
1|Ф3|193
1|Ф2|194
1|С+Ф4|216-220
2|С|1-32
2|С|33-53
2|С+Ф1|54-71
2|С|72-88
2|С+Ф1|89-112
2|С|113-118
2|С|119-120
2|С|121-143
2|Ф1|144-151
2|С|152-169
2|С|172-175
2|С+Ф1|176-178
2|С+Ф2|179
2|С+Ф2|180
2|С+Ф1|181
2|Ф2|182
2|Ф1|185
2|Ф2|187-188
2|Ф1|189
2|Ф2|191
2|Ф1|194
2|Ф1|196
2|С+Ф2|197-222
2|Ф2|229
2|Ф2|234
2|Ф2|236
2|С+Ф1|243-256
2|С|261-270
2|Ф2|271
2|С|272-275
2|С|276-278
2|Ф1|280
2|С|282-283
2|Ф1|284
2|Ф1|285
2|Ф2|286-287
2|Ф1|288
2|Ф1|289
2|С+Ф3|296-302
2|Ф2|309-310
2|Ф2|311
2|Ф2|MOVIE 9
2|Ф2|313-315
2|Ф1|316-317
2|Ф2|318
2|Ф1|319
2|С+Ф1|321-346
2|Ф1|347-348
2|С+Ф1|349-361
2|С|362-363
2|Ф2|OVA 12
2|С+Ф1|364-372
2|С+Ф2|373-375
2|С+Ф2|378-388
2|Ф2|389-390
2|С|391-393
2|С+Ф2|414-415
2|С+Ф2|416-417
2|С+Ф1|418-421
2|С+Ф3|424-426
2|Ф2|427-428
2|Ф2|431
2|С+ФН|451-458
2|С+Ф1|459-468
2|Ф2|469
2|С+Ф1|470-479
2|Ф1|MOVIE 10
2|Ф1|480-483
2|ФН|484-488
2|ФН|489-493
2|ФН|494-500
2|Ф1|OVA 13
2|Ф2|MOVIE 11
